Time (EDT),AURSCO - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS
 1 Jan '19 07:05:00,0,0,0,0,0,0,0,516.4,0,0,0,65514.88,180841.6533,0,0,58.96,1469.093333,145331.7867,0,860.9333333
 1 Jan '19 07:10:00,0,0,0,0,0,0,0,257.92,0,0,0,49017.36,175611.3333,0,0,0,12215.49333,136010.4267,0,569.3333333
 1 Jan '19 07:15:00,0,0,0,0,0,0,0,257.92,0,0,0,12442.61333,218650.3467,0,0,0,12215.49333,136010.4267,0,569.3333333
 1 Jan '19 07:20:00,0,0,0,0,0,0,0,515.8133333,0,0,0,81544.13333,209639.8667,0,0,0,4404.746667,170202.0267,0,229.44
 1 Jan '19 07:25:00,0,0,0,0,0,0,0,1214.24,0,0,0,4257.893333,227448.4533,0,0,0,28370.48,148565.6533,0,616.1333333
 1 Jan '19 07:30:00,0,0,0,0,0,0,0,516.9866667,0,0,0,1000.4,192343.9467,0,0,0,4126.16,181774.08,0,395.6533333
 1 Jan '19 07:35:00,0,0,0,0,0,0,0,0,0,0,3435.013333,9616.506667,173936.48,0,0,0,14717.65333,207510.7467,0,509.3066667
 1 Jan '19 07:40:00,0,0,0,0,0,0,0,0,0,0,3435.013333,9616.506667,173936.48,0,0,0,44256.37333,207126.2933,0,741.9466667
 1 Jan '19 07:45:00,0,0,0,0,0,0,0,0,0,0,0,4688.133333,228791.4133,0,0,0,31349.2,257293.6267,0,686.4
 1 Jan '19 07:50:00,0,0,0,0,0,0,0,0,0,0,0,22967.78667,301206.0267,0,0,0,44107.57333,289440.32,0,807.8666667
 1 Jan '19 07:55:00,0,0,0,0,0,0,0,540.4,0,0,0,56762.34667,256560.6933,0,0,0,22605.89333,253103.12,0,853.4666667
 1 Jan '19 08:00:00,0,0,0,0,0,0,0,546.9866667,0,0,0,14571.49333,170486.32,0,0,0,107922.96,234479.9467,0,796.8533333
 1 Jan '19 08:05:00,0,0,0,0,0,0,0,275.7866667,0,0,0,50437.06667,199044.7467,0,0,0,101783.4667,243205.3333,0,787.28
 1 Jan '19 08:10:00,0,0,0,0,0,0,0,0,0,0,0,132573.84,311332.5067,0,0,0,56860.18667,334417.5467,0,1573.706667
 1 Jan '19 08:15:00,0,0,0,0,0,0,0,2259.973333,0,0,0,95967.97333,303223.3333,0,0,0,70323.14667,304835.6533,0,705.76
 1 Jan '19 08:20:00,0,0,0,0,0,0,0,0,0,0,0,21525.76,229878.9333,0,0,0,23536.21333,334173.4667,0,678.6133333
 1 Jan '19 08:25:00,0,0,0,0,0,0,0,0,0,0,0,38287.46667,182861.44,0,0,0,38154.08,397358.7733,0,1299.12
 1 Jan '19 08:30:00,0,0,0,0,0,0,0,0,0,0,0,56309.49333,208367.0667,0,0,0,9603.44,346595.7067,0,701.12
 1 Jan '19 08:35:00,0,0,0,0,0,0,0,785.5733333,0,0,0,48592,250993.1733,0,0,0,314268,305196.5867,0,1142.586667
